asset_class,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Computers_and_peripheral_equipment,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Communication_equipment,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nonelectronic_medical_instruments,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645,1.9924645
Electronic_medical_instruments,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nonmedical_instruments,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943,1.9231943
Photocopy_and_related_equipment,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Office_and_accounting_equipment,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nuclear_fuel,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Other_fabricated_metal_products,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062,1.97062
Steam_engines,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Internal_combustion_engines,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619,1.6674619
Metalworking_machinery,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872,1.9968872
Special_industrial_machinery,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726,1.9905726
General_industrial_equipment,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321,1.9604321
Electric_transmission_distribution_and_industrial_apparatus,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342,1.5001342
Light_trucks_(including_utility_vehicles),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
