detailed_industry,soi_industry,business_receipts
Farms,Agricultural production,134026880
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,15771648
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",43999228
Oil_and_Gas_Extraction,Oil and gas extraction,277953877
Mining_(Except_Oil_and_Gas),Coal mining,26856806
Mining_(Except_Oil_and_Gas),Metal ore mining,53485307
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,29786455
Support_Activities_For_Mining,Support activities for mining,124905578
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",315684811
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",315684811
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",315684811
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",315684811
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",315684811
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,79850682
Water_and_Sewer_Systems,"Water, sewage, and other systems",11253420
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,185002050
Construction,Construction,1434695016
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing","Animal food manufacturing, grain and oilseed milling",139101885
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,41823697
Other_Food_Products_Manufacturing,"Fruit and vegetable preserving, and specialty food",56992304
Other_Food_Products_Manufacturing,Dairy product,66819339
Other_Food_Products_Manufacturing,Meat and seafood processing,171053533
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,45973888
Other_Food_Products_Manufacturing,Other food,176797446
Beverage_and_Tobacco_Products_Manufacturing,Beverage and tobacco product manufacturing,165419181
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,16520729
Other_Textile_and_Textile_Product_Mills,Textile product mills,23218573
Apparel_Manufacturing,Apparel manufacturing,37399368
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,10973612
Wood_Product_Manufacturing,Wood product manufacturing,87081349
Paper_Manufacturing,Paper manufacturing,168181412
Printing_and_Related_Support_Activities,Printing and related support activities,78401269
Petroleum_Refining,Petroleum refineries (including integrated),2000022317
Other_Petroleum_and_Coal_Products_Manufacturing,"Asphalt paving, roofing, other petroleum and coal products",19482622
Chemical_Manufacturing,Chemical manufacturing,899260176
Plastics_and_Rubber_Products_Manufacturing,Plastics and rubber products manufacturing,206451820
Other_Nonmetalic_Mineral_Products_Manufacturing,"Clay, refractory, and other nonmetallic mineral product",21938834
Glass_Products_Manufacturing,Glass and glass product,30445231
Cement_Manufacturing,"Cement, concrete, lime and gypsum product",67971179
Primary_Ferrous_Metal_Manufacturing,"Iron, steel mills and steel product",153322713
Primary_Nonferrous_Metal_Manufacturing,Nonferrous metal production and processing,100169395
Primary_Ferrous_Metal_Manufacturing,Foundries,34416246
Primary_Nonferrous_Metal_Manufacturing,Foundries,34416246
Fabricated_Metal_Product_Manufacturing,Fabricated metal product manufacturing,313447412
Machinery_Manufacturing,Machinery manufacturing,482654806
Computer_and_Electronic_Product_Manufacturing,Computer and electronic product manufacturing,647822569
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliance, and component manufacturing",271266751
Motor_Vehicle_and_Parts_Manufacturing,Motor vehicles and parts,823720380
Other_Transportation_Equipment_Manufacturing,Aerospace product and parts,337154705
Ships_and_Boats_Manufacturing,Ship and boat building,47327403
Other_Transportation_Equipment_Manufacturing,Other transportation equipment and railroad rolling stock,31267306
Furniture_and_Related_Products_Manufacturing,Furniture and related product manufacturing,72274114
Medical_and_Dental_Supplies_Manufacturing,Medical equipment and supplies,139852486
Other_Miscellaneous_Manufacturing,Other miscellaneous manufacturing,81880981
Wholesale_Durable_Goods,"Merchant wholesalers, durable goods",2066624498
Wholesale_Nondurable_Goods,"Merchant wholesalers, nondurable goods",2705024178
