detailed_industry,soi_industry,business_receipts,remainder,use_total_receipts,weight
Farms,Agricultural production,52920507,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,3549208,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",11998289,NA,NA,NA
Oil_and_Gas_Extraction,Oil and gas extraction,NA,177375314,FALSE,NA
Mining_(Except_Oil_and_Gas),Coal mining,NA,177375314,FALSE,NA
Mining_(Except_Oil_and_Gas),Metal ore mining,NA,177375314,FALSE,NA
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,19878173,NA,NA,NA
Support_Activities_For_Mining,Support activities for mining,44195820,NA,NA,NA
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",278518952,NA,NA,NA
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",278518952,NA,NA,NA
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",278518952,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",278518952,NA,NA,NA
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",278518952,NA,NA,NA
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,52436132,NA,NA,NA
Water_and_Sewer_Systems,"Water, sewage, and other systems",10009224,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,165059963,NA,NA,NA
Construction,Construction,503571605,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Animal food manufacturing and grain and oilseed milling,117502467,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,37697719,NA,NA,NA
Other_Food_Products_Manufacturing,Fruit and vegetable preserving and specialty food manufacturing,71029449,NA,NA,NA
Other_Food_Products_Manufacturing,Dairy product,40372393,NA,NA,NA
Other_Food_Products_Manufacturing,Meat and seafood processing,118537785,NA,NA,NA
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,32417153,NA,NA,NA
Other_Food_Products_Manufacturing,Other food,136303096,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Soft drink and ice,47492575,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Breweries,20692197,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Wineries and distilleries,36601135,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Tobacco manufacturing,46993048,NA,NA,NA
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,9851826,NA,NA,NA
Other_Textile_and_Textile_Product_Mills,Textile product mills,15630547,NA,NA,NA
Apparel_Manufacturing,Apparel knitting mills,2243387,NA,NA,NA
Apparel_Manufacturing,Cut and sew apparel contractors and manufacturers,13275531,NA,NA,NA
Apparel_Manufacturing,Apparel accessories and other apparel,158939,NA,NA,NA
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,5807082,NA,NA,NA
Wood_Product_Manufacturing,Wood product manufacturing,46269445,NA,NA,NA
Paper_Manufacturing,"Pulp, paper, and paperboard mills",58989020,NA,NA,NA
Paper_Manufacturing,Converted paper product,75939298,NA,NA,NA
Printing_and_Related_Support_Activities,Printing and related support activities,42596988,NA,NA,NA
Petroleum_Refining,Petroleum refineries (including integrated),1016657888,NA,NA,NA
Other_Petroleum_and_Coal_Products_Manufacturing,"Asphalt paving, roofing, other petroleum and coal products",13770609,NA,NA,NA
Chemical_Manufacturing,Basic chemical,187401748,NA,NA,NA
Chemical_Manufacturing,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments",41917148,NA,NA,NA
Chemical_Manufacturing,Pharmaceutical and medicine,375315155,NA,NA,NA
Chemical_Manufacturing,"Paint, coating, and adhesive",49252687,NA,NA,NA
Chemical_Manufacturing,"Soap, cleaning compound, and toilet preparation",89515306,NA,NA,NA
Chemical_Manufacturing,Other chemical product and preparation,80168380,NA,NA,NA
Plastics_and_Rubber_Products_Manufacturing,Plastics product,87741449,NA,NA,NA
Plastics_and_Rubber_Products_Manufacturing,Rubber product,54160213,NA,NA,NA
Other_Nonmetalic_Mineral_Products_Manufacturing,"Clay, refractory, and other nonmetallic mineral product",15859756,NA,NA,NA
Glass_Products_Manufacturing,Glass and glass product,26800253,NA,NA,NA
Cement_Manufacturing,"Cement, concrete, lime, and gypsum product",57463262,NA,NA,NA
Primary_Ferrous_Metal_Manufacturing,"Iron, steel mills, and steel product",98997372,NA,NA,NA
Primary_Nonferrous_Metal_Manufacturing,Nonferrous metal production and processing,78253400,NA,NA,NA
Primary_Ferrous_Metal_Manufacturing,Foundries,8933575,NA,NA,NA
Primary_Nonferrous_Metal_Manufacturing,Foundries,8933575,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,Forging and stamping,6243955,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,"Cutlery, hardware, spring and wire: machine shops, screw, nut, and bolt",39543677,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,Architectural and structural metals,31172469,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,"Boiler, tank, and shipping container",21648409,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,"Coating, engraving, heat treating, and allied activities",8265212,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,Other fabricated metal product,73044352,NA,NA,NA
Machinery_Manufacturing,"Agriculture, construction, and mining machinery",99751109,NA,NA,NA
Machinery_Manufacturing,Industrial machinery,33878137,NA,NA,NA
Machinery_Manufacturing,Commercial and service industry machinery,36154034,NA,NA,NA
