detailed_industry,soi_industry,business_receipts
Farms,Crop production,6225913
Farms,Animal production,6899666
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,3398045
"Forestry,_Fishing,_and_Related_Activites","Fishing, hunting, and trapping",2385755
"Forestry,_Fishing,_and_Related_Activites",Support activities for agriculture and forestry,13375939
Oil_and_Gas_Extraction,Oil and gas extraction,118391575
Mining_(Except_Oil_and_Gas),Other mining,27179420
Support_Activities_For_Mining,Support activities for mining,17266908
Hydroelectric_Power_Generation,Utilities,160230837
Nuclear_Electric_Power_Generation,Utilities,160230837
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,160230837
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,160230837
Other_Electric_Power_Generation,Utilities,160230837
Electric_Power_Transmission_and_Distribution,Utilities,160230837
Natural_Gas_Distribution_and_Transmission,Utilities,160230837
Water_and_Sewer_Systems,Utilities,160230837
Construction,Construction,208668718
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Food manufacturing,96506530
Other_Food_Products_Manufacturing,Food manufacturing,96506530
Beverage_and_Tobacco_Products_Manufacturing,Beverage and tobacco product manufacturing,30880653
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills and textile product mills,5428240
Other_Textile_and_Textile_Product_Mills,Textile mills and textile product mills,5428240
Apparel_Manufacturing,Apparel manufacturing,6958510
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,353196
Wood_Product_Manufacturing,Wood product manufacturing,12662316
Paper_Manufacturing,Paper manufacturing,30481044
Printing_and_Related_Support_Activities,Printing and related support activities,7523436
Petroleum_Refining,Petroleum and coal products manufacturing,470732710
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum and coal products manufacturing,470732710
Chemical_Manufacturing,Chemical manufacturing,129428859
Plastics_and_Rubber_Products_Manufacturing,Plastics and rubber products manufacturing,19657065
Glass_Products_Manufacturing,Nonmetallic mineral products manufacturing,9312995
Cement_Manufacturing,Nonmetallic mineral products manufacturing,9312995
Other_Nonmetalic_Mineral_Products_Manufacturing,Nonmetallic mineral products manufacturing,9312995
Primary_Ferrous_Metal_Manufacturing,Primary metal manufacturing,38602913
Primary_Nonferrous_Metal_Manufacturing,Primary metal manufacturing,38602913
Fabricated_Metal_Product_Manufacturing,Fabricated metal products manufacturing,27542211
Machinery_Manufacturing,Machinery manufacturing,37036790
Computer_and_Electronic_Product_Manufacturing,Computer and electrical product manufacturing,18392793
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliance and component manufacturing",6842304
Motor_Vehicle_and_Parts_Manufacturing,Transportation equipment manufacturing,113398478
Other_Transportation_Equipment_Manufacturing,Transportation equipment manufacturing,113398478
Ships_and_Boats_Manufacturing,Transportation equipment manufacturing,113398478
Furniture_and_Related_Products_Manufacturing,Furniture and related product manufacturing,2655799
Medical_and_Dental_Supplies_Manufacturing,Miscellaneous manufacturing,22004771
Other_Miscellaneous_Manufacturing,Miscellaneous manufacturing,22004771
Wholesale_Durable_Goods,"Merchant wholesalers, durable goods",187083186
Wholesale_Nondurable_Goods,"Merchant wholesalers, nondurable goods",544760840
