detailed_industry,soi_industry,business_receipts
"Forestry,_Fishing,_and_Related_Activites","Agriculture, forestry, hunting, and fishing",19773577
Farms,Animal production (including breeding of cats and dogs),0
Oil_and_Gas_Extraction,Oil and gas extraction,9386217
Mining_(Except_Oil_and_Gas),Other mining,470549
Support_Activities_For_Mining,Support activities for mining,2350077
Hydroelectric_Power_Generation,Utilities,443849
Nuclear_Electric_Power_Generation,Utilities,443849
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,443849
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,443849
Other_Electric_Power_Generation,Utilities,443849
Electric_Power_Transmission_and_Distribution,Utilities,443849
Natural_Gas_Distribution_and_Transmission,Utilities,443849
Water_and_Sewer_Systems,Utilities,443849
Construction,Construction,162106106
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Food manufacturing,3513701
Other_Food_Products_Manufacturing,Food manufacturing,3513701
Beverage_and_Tobacco_Products_Manufacturing,Food manufacturing,3513701
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile and textile product mills,578296
Other_Textile_and_Textile_Product_Mills,Textile and textile product mills,578296
Apparel_Manufacturing,Apparel,747403
Leather_and_Allied_Products_Manufacturing,Leather and allied products,142516
Wood_Product_Manufacturing,Wood products,2599829
Paper_Manufacturing,Paper products,85632
Printing_and_Related_Support_Activities,Printing and related support activities,2007799
Petroleum_Refining,Petroleum and coal products,74287
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum and coal products,74287
Chemical_Manufacturing,Chemical manufacturing,782103
Plastics_and_Rubber_Products_Manufacturing,Plastic and rubber products,273033
Glass_Products_Manufacturing,Nonmetallic mineral products,972786
Cement_Manufacturing,Nonmetallic mineral products,972786
Other_Nonmetalic_Mineral_Products_Manufacturing,Nonmetallic mineral products,972786
Primary_Ferrous_Metal_Manufacturing,Primary metal industries,499040
Primary_Nonferrous_Metal_Manufacturing,Primary metal industries,499040
Fabricated_Metal_Product_Manufacturing,Fabricated metal products,2996000
Machinery_Manufacturing,Machinery,2247821
Computer_and_Electronic_Product_Manufacturing,Computer and electronic products,351197
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliances, and components",774853
Motor_Vehicle_and_Parts_Manufacturing,Transportation equipment,543604
Other_Transportation_Equipment_Manufacturing,Transportation equipment,543604
